name,value,year,lastValue,rank
dashing,NA,2016.160000,NA,13
eloquent,NA,2016.160000,NA,14
fuerte,460,2016.250000,460,5
groovy,2990,2016.250000,2986,3
hydro,4631,2016.250000,4624,1
indigo,4314,2016.250000,4154,2
jade,1074,2016.250000,987,4
kinetic,99,2016.250000,1,6
lunar,NA,2016.250000,NA,7
melodic,NA,2016.250000,NA,8
ardent,NA,2016.250000,NA,10
bouncy,NA,2016.250000,NA,11
crystal,NA,2016.250000,NA,12
dashing,NA,2016.250000,NA,13
eloquent,NA,2016.250000,NA,14
fuerte,460,2016.330000,460,5
groovy,2990,2016.330000,2990,3
hydro,4631,2016.330000,4631,1
indigo,4458,2016.330000,4314,2
jade,1167,2016.330000,1074,4
kinetic,253,2016.330000,99,6
lunar,NA,2016.330000,NA,7
melodic,NA,2016.330000,NA,8
ardent,NA,2016.330000,NA,10
bouncy,NA,2016.330000,NA,11
crystal,NA,2016.330000,NA,12
dashing,NA,2016.330000,NA,13
eloquent,NA,2016.330000,NA,14
fuerte,460,2016.410000,460,5
groovy,2990,2016.410000,2990,3
hydro,4632,2016.410000,4631,1
indigo,4610,2016.410000,4458,2
jade,1221,2016.410000,1167,4
kinetic,372,2016.410000,253,6
lunar,NA,2016.410000,NA,7
melodic,NA,2016.410000,NA,8
ardent,NA,2016.410000,NA,10
bouncy,NA,2016.410000,NA,11
crystal,NA,2016.410000,NA,12
dashing,NA,2016.410000,NA,13
eloquent,NA,2016.410000,NA,14
fuerte,460,2016.500000,460,6
groovy,2990,2016.500000,2990,3
hydro,4632,2016.500000,4632,2
indigo,4770,2016.500000,4610,1
jade,1283,2016.500000,1221,4
kinetic,475,2016.500000,372,5
lunar,NA,2016.500000,NA,7
melodic,NA,2016.500000,NA,8
ardent,NA,2016.500000,NA,10
bouncy,NA,2016.500000,NA,11
crystal,NA,2016.500000,NA,12
dashing,NA,2016.500000,NA,13
eloquent,NA,2016.500000,NA,14
fuerte,460,2016.580000,460,6
groovy,2990,2016.580000,2990,3
hydro,4634,2016.580000,4632,2
indigo,4871,2016.580000,4770,1
jade,1329,2016.580000,1283,4
kinetic,549,2016.580000,475,5
lunar,NA,2016.580000,NA,7
melodic,NA,2016.580000,NA,8
ardent,NA,2016.580000,NA,10
bouncy,NA,2016.580000,NA,11
crystal,NA,2016.580000,NA,12
dashing,NA,2016.580000,NA,13
eloquent,NA,2016.580000,NA,14
fuerte,460,2016.660000,460,6
groovy,2990,2016.660000,2990,3
hydro,4634,2016.660000,4634,2
indigo,4989,2016.660000,4871,1
jade,1384,2016.660000,1329,4
kinetic,669,2016.660000,549,5
lunar,NA,2016.660000,NA,7
melodic,NA,2016.660000,NA,8
ardent,NA,2016.660000,NA,10
bouncy,NA,2016.660000,NA,11
crystal,NA,2016.660000,NA,12
dashing,NA,2016.660000,NA,13
eloquent,NA,2016.660000,NA,14
fuerte,460,2016.750000,460,6
groovy,2990,2016.750000,2990,3
hydro,4634,2016.750000,4634,2
indigo,5102,2016.750000,4989,1
jade,1457,2016.750000,1384,4
kinetic,786,2016.750000,669,5
lunar,NA,2016.750000,NA,7
melodic,NA,2016.750000,NA,8
ardent,NA,2016.750000,NA,10
bouncy,NA,2016.750000,NA,11
crystal,NA,2016.750000,NA,12
dashing,NA,2016.750000,NA,13
eloquent,NA,2016.750000,NA,14
fuerte,460,2016.830000,460,6
groovy,2990,2016.830000,2990,3
hydro,4634,2016.830000,4634,2
indigo,5237,2016.830000,5102,1
jade,1501,2016.830000,1457,4
kinetic,870,2016.830000,786,5
lunar,NA,2016.830000,NA,7
melodic,NA,2016.830000,NA,8
ardent,NA,2016.830000,NA,10
bouncy,NA,2016.830000,NA,11
crystal,NA,2016.830000,NA,12
dashing,NA,2016.830000,NA,13
eloquent,NA,2016.830000,NA,14
fuerte,460,2016.910000,460,6
groovy,2990,2016.910000,2990,3
hydro,4634,2016.910000,4634,2
indigo,5330,2016.910000,5237,1
jade,1553,2016.910000,1501,4
kinetic,965,2016.910000,870,5
lunar,NA,2016.910000,NA,7
melodic,NA,2016.910000,NA,8
ardent,NA,2016.910000,NA,10
bouncy,NA,2016.910000,NA,11
crystal,NA,2016.910000,NA,12
dashing,NA,2016.910000,NA,13
eloquent,NA,2016.910000,NA,14
fuerte,460,2017.000000,460,6
groovy,2990,2017.000000,2990,3
hydro,4634,2017.000000,4634,2
indigo,5406,2017.000000,5330,1
jade,1579,2017.000000,1553,4
kinetic,1049,2017.000000,965,5
lunar,NA,2017.000000,NA,7
